OID_,YEAR,PRIMARY_SAMPLE_UNIT,ADMIN,PROT,MAPGRID_NR,STRAT,DEPTH_STRAT,lat,lon,NoTake
246,2025,4424,OPEN,0,37467,AGRFDEEP,DEEP,17.643129999999999,-64.900549999999996,0
247,2025,4431,BUIS,0,385694,PTRFDEEP,DEEP,17.788530000000002,-64.606420000000000,0
248,2025,4434,OPEN,0,50773,PVMTDEEP,DEEP,17.649170000000002,-64.850849999999994,0
249,2025,4435,BUIS,0,383529,AGRFSHLW,SHLW,17.787939999999999,-64.589969999999994,0
250,2025,4436,BUIS,0,369235,AGRFSHLW,SHLW,17.781920000000000,-64.587130000000002,0
251,2025,4438,BUIS,0,385723,AGRFSHLW,SHLW,17.788679999999999,-64.592900000000000,0
252,2025,4440,BUIS,0,404432,PVMTSHLW,SHLW,17.796440000000000,-64.588660000000004,0
253,2025,4442,BUIS,0,365817,PVMTSHLW,SHLW,17.780249999999999,-64.642430000000004,0
254,2025,4443,BUIS,0,402197,AGRFSHLW,SHLW,17.795400000000001,-64.605040000000002,0
255,2025,4451,OPEN,0,350343,PVMTSHLW,SHLW,17.773560000000000,-64.677660000000003,0
256,2025,4467,BUIS,0,378036,PTRFDEEP,DEEP,17.785660000000000,-64.586320000000001,0
257,2025,4471,BUIS,0,365823,SCRDEEP,DEEP,17.780270000000002,-64.639960000000002,0
258,2025,4472,EEMP,0,339566,SCRDEEP,DEEP,17.769760000000002,-64.572450000000003,0
259,2025,4473,EEMP,0,352749,PTRFDEEP,DEEP,17.775169999999999,-64.580539999999999,0
260,2025,4475,EEMP,0,348349,SCRDEEP,DEEP,17.773530000000001,-64.580330000000004,0
261,2025,4477,EEMP,0,336252,AGRFDEEP,DEEP,17.768310000000000,-64.578940000000003,0
262,2025,4478,OPEN,0,412257,PTRFDEEP,DEEP,17.800080000000001,-64.529780000000002,0
263,2025,4487,OPEN,0,26597,AGRFDEEP,DEEP,17.639320000000001,-64.839110000000005,0
264,2025,4488,OPEN,0,101529,SCRDEEP,DEEP,17.670639999999999,-64.777349999999998,0
265,2025,4492,BUIS,0,365808,SCRSHLW,SHLW,17.780100000000001,-64.646730000000005,0
266,2025,4601,EEMP,0,227244,AGRFSHLW,SHLW,17.723530000000000,-64.629320000000007,1
267,2025,4602,EEMP,0,331731,AGRFSHLW,SHLW,17.766130000000000,-64.636060000000001,1
268,2025,4603,EEMP,0,325175,AGRFSHLW,SHLW,17.763729999999999,-64.615250000000003,1
269,2025,4604,EEMP,0,280126,PVMTSHLW,SHLW,17.745429999999999,-64.590770000000006,1
270,2025,4605,EEMP,0,220631,AGRFSHLW,SHLW,17.720420000000001,-64.635270000000006,1
271,2025,4606,EEMP,0,205197,AGRFSHLW,SHLW,17.713999999999999,-64.651330000000002,1
272,2025,4607,EEMP,0,327313,AGRFSHLW,SHLW,17.764540000000000,-64.644260000000003,1
273,2025,4608,EEMP,0,228344,AGRFSHLW,SHLW,17.723949999999999,-64.629419999999996,1
274,2025,4609,EEMP,0,229447,AGRFSHLW,SHLW,17.724170000000001,-64.627930000000006,1
275,2025,4610,EEMP,0,339370,BDRKSHLW,SHLW,17.768979999999999,-64.664800000000000,1
276,2025,4611,EEMP,0,319566,BDRKSHLW,SHLW,17.760999999999999,-64.666499999999999,0
277,2025,4612,EEMP,0,334967,BDRKSHLW,SHLW,17.767189999999999,-64.666049999999998,1
278,2025,4613,EEMP,0,320683,BDRKSHLW,SHLW,17.761649999999999,-64.658619999999999,0
279,2025,4614,EEMP,0,243759,AGRFSHLW,SHLW,17.730100000000000,-64.622349999999997,1
280,2025,4615,EEMP,0,326186,BDRKSHLW,SHLW,17.763680000000001,-64.656980000000004,1
281,2025,4616,EEMP,0,201880,PTRFSHLW,SHLW,17.712620000000001,-64.659469999999999,1
282,2025,4617,EEMP,0,335024,PTRFSHLW,SHLW,17.767540000000000,-64.639099999999999,1
283,2025,4618,EEMP,0,209582,PTRFSHLW,SHLW,17.715679999999999,-64.658379999999994,1
284,2025,4619,EEMP,0,336123,PTRFSHLW,SHLW,17.767769999999999,-64.639799999999994,1
285,2025,4620,EEMP,0,318652,PTRFSHLW,SHLW,17.761080000000000,-64.578930000000000,1
286,2025,4621,EEMP,0,215107,PTRFSHLW,SHLW,17.718050000000002,-64.646720000000002,1
287,2025,4622,EEMP,0,331731,AGRFSHLW,SHLW,17.766130000000000,-64.636060000000001,1
288,2025,4623,EEMP,0,333966,AGRFDEEP,DEEP,17.767029999999998,-64.619600000000005,1
289,2025,4624,EEMP,0,240465,AGRFSHLW,SHLW,17.728840000000002,-64.619730000000004,1
290,2025,4625,EEMP,0,330756,PVMTSHLW,SHLW,17.766079999999999,-64.577029999999993,0
291,2025,4626,EEMP,0,250387,PVMTSHLW,SHLW,17.732949999999999,-64.609210000000004,1
292,2025,4628,EEMP,0,212913,AGRFSHLW,SHLW,17.717169999999999,-64.644099999999995,1
293,2025,4629,EEMP,0,324058,AGRFSHLW,SHLW,17.763079999999999,-64.622969999999995,1
294,2025,4630,EEMP,0,240465,AGRFSHLW,SHLW,17.728680000000001,-64.619399999999999,0
295,2025,4631,EEMP,0,330616,AGRFSHLW,SHLW,17.765709999999999,-64.643090000000001,1
296,2025,4632,EEMP,0,236058,PVMTSHLW,SHLW,17.727000000000000,-64.622839999999997,1
297,2025,4633,EEMP,0,243772,PVMTSHLW,SHLW,17.730260000000001,-64.616280000000003,0
298,2025,4634,EEMP,0,318656,PTRFSHLW,SHLW,17.761420000000001,-64.576750000000004,1
299,2025,4636,EEMP,0,323053,AGRFSHLW,SHLW,17.763169999999999,-64.578170000000000,1
300,2025,4637,EEMP,0,232751,AGRFSHLW,SHLW,17.725670000000001,-64.626080000000002,1
301,2025,4638,EEMP,0,324149,AGRFSHLW,SHLW,17.763570000000001,-64.580079999999995,1
302,2025,4639,EEMP,0,317556,PTRFSHLW,SHLW,17.760870000000001,-64.576980000000006,1
303,2025,4650,EEMP,0,327375,AGRFSHLW,SHLW,17.764589999999998,-64.614940000000004,1
304,2025,4651,EEMP,0,330741,AGRFSHLW,SHLW,17.766220000000001,-64.584090000000003,1
305,2025,4661,EEMP,0,332797,PVMTSHLW,SHLW,17.766300000000001,-64.651769999999999,1
306,2025,4671,EEMP,0,329540,AGRFSHLW,SHLW,17.765329999999999,-64.631519999999995,1
307,2025,4673,EEMP,0,336116,PTRFSHLW,SHLW,17.768030000000000,-64.643150000000006,1
308,2025,4675,EEMP,0,3016481,PTRFSHLW,SHLW,17.714990000000000,-64.657830000000004,1
309,2025,4679,EEMP,0,206274,PTRFSHLW,SHLW,17.714449999999999,-64.662319999999994,1
310,2025,4680,EEMP,0,338318,PTRFSHLW,SHLW,17.768719999999998,-64.641949999999994,1
311,2025,4685,EEMP,0,330673,SCRDEEP,DEEP,17.765860000000000,-64.616090000000000,1
312,2025,4689,EEMP,0,332824,PVMTSHLW,SHLW,17.766510000000000,-64.639160000000004,1
313,2025,4691,EEMP,0,330741,AGRFSHLW,SHLW,17.766079999999999,-64.584119999999999,1
314,2025,4692,EEMP,0,277935,AGRFSHLW,SHLW,17.744599999999998,-64.586720000000000,1
315,2025,4693,EEMP,0,285672,AGRFSHLW,SHLW,17.747720000000001,-64.569299999999998,1
316,2025,4694,EEMP,0,198571,PVMTSHLW,SHLW,17.711250000000000,-64.663870000000003,1
317,2025,4695,EEMP,0,338272,PVMTSHLW,SHLW,17.768780000000000,-64.663640000000001,1
318,2025,4696,EEMP,0,330638,PTRFSHLW,SHLW,17.765699999999999,-64.632589999999993,1
319,2025,4699,EEMP,0,3069789,PVMTSHLW,SHLW,17.768960000000000,-64.649900000000002,1
320,2025,4701,EEMP,0,336146,PVMTSHLW,SHLW,17.768090000000001,-64.628940000000000,1
321,2025,4703,EEMP,0,329519,PVMTSHLW,SHLW,17.765309999999999,-64.641530000000003,1
322,2025,4704,EEMP,0,341586,PVMTSHLW,SHLW,17.770060000000001,-64.657309999999995,1
323,2025,4706,EEMP,0,255892,PVMTSHLW,SHLW,17.735119999999998,-64.606970000000004,1
324,2025,4707,EEMP,0,201869,AGRFSHLW,SHLW,17.712650000000000,-64.664730000000006,0
325,2025,4718,EEMP,0,319753,PTRFSHLW,SHLW,17.761920000000000,-64.578479999999999,1
