"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","MAPGRID_NR","STRAT","DEPTH_STRAT","lat","lon"
2025,4478,"OPEN",0,412257,"PTRFDEEP","DEEP",17.80008,-64.52978
2025,4487,"OPEN",0,26597,"AGRFDEEP","DEEP",17.63932,-64.83911
2025,4488,"OPEN",0,101529,"SCRDEEP","DEEP",17.67064,-64.77735
2025,4492,"BUIS",0,365808,"SCRSHLW","SHLW",17.7801,-64.64673
2025,4601,"EEMP",0,227244,"AGRFSHLW","SHLW",17.72353,-64.62932
2025,4602,"EEMP",0,331731,"AGRFSHLW","SHLW",17.76613,-64.63606
2025,4603,"EEMP",0,325175,"AGRFSHLW","SHLW",17.76373,-64.61525
2025,4604,"EEMP",0,280126,"PVMTSHLW","SHLW",17.74543,-64.59077
2025,4605,"EEMP",0,220631,"AGRFSHLW","SHLW",17.72042,-64.63527
2025,4606,"EEMP",0,205197,"AGRFSHLW","SHLW",17.714,-64.65133
2025,4607,"EEMP",0,327313,"AGRFSHLW","SHLW",17.76454,-64.64426
2025,4608,"EEMP",0,228344,"AGRFSHLW","SHLW",17.72395,-64.62942
2025,4609,"EEMP",0,229447,"AGRFSHLW","SHLW",17.72417,-64.62793
2025,4610,"EEMP",0,339370,"BDRKSHLW","SHLW",17.76898,-64.6648
2025,4611,"EEMP",0,319566,"BDRKSHLW","SHLW",17.761,-64.6665
2025,4612,"EEMP",0,334967,"BDRKSHLW","SHLW",17.76719,-64.66605
2025,4613,"EEMP",0,320683,"BDRKSHLW","SHLW",17.76165,-64.65862
2025,4614,"EEMP",0,243759,"AGRFSHLW","SHLW",17.7301,-64.62235
2025,4615,"EEMP",0,326186,"BDRKSHLW","SHLW",17.76368,-64.65698
2025,4616,"EEMP",0,201880,"PTRFSHLW","SHLW",17.71262,-64.65947
2025,4617,"EEMP",0,335024,"PTRFSHLW","SHLW",17.76754,-64.6391
2025,4618,"EEMP",0,209582,"PTRFSHLW","SHLW",17.71568,-64.65838
2025,4619,"EEMP",0,336123,"PTRFSHLW","SHLW",17.76777,-64.6398
2025,4620,"EEMP",0,318652,"PTRFSHLW","SHLW",17.76108,-64.57893
2025,4621,"EEMP",0,215107,"PTRFSHLW","SHLW",17.71805,-64.64672
2025,4622,"EEMP",0,331731,"AGRFSHLW","SHLW",17.76613,-64.63606
2025,4623,"EEMP",0,333966,"AGRFDEEP","DEEP",17.76703,-64.6196
2025,4624,"EEMP",0,240465,"AGRFSHLW","SHLW",17.72884,-64.61973
2025,4625,"EEMP",0,330756,"PVMTSHLW","SHLW",17.76608,-64.57703
2025,4626,"EEMP",0,250387,"PVMTSHLW","SHLW",17.73295,-64.60921
2025,4628,"EEMP",0,212913,"AGRFSHLW","SHLW",17.71717,-64.6441
2025,4629,"EEMP",0,324058,"AGRFSHLW","SHLW",17.76308,-64.62297
2025,4630,"EEMP",0,240465,"AGRFSHLW","SHLW",17.72868,-64.6194
2025,4631,"EEMP",0,330616,"AGRFSHLW","SHLW",17.76571,-64.64309
2025,4632,"EEMP",0,236058,"PVMTSHLW","SHLW",17.727,-64.62284
2025,4633,"EEMP",0,243772,"PVMTSHLW","SHLW",17.73026,-64.61628
2025,4634,"EEMP",0,318656,"PTRFSHLW","SHLW",17.76142,-64.57675
2025,4636,"EEMP",0,323053,"AGRFSHLW","SHLW",17.76317,-64.57817
2025,4637,"EEMP",0,232751,"AGRFSHLW","SHLW",17.72567,-64.62608
2025,4638,"EEMP",0,324149,"AGRFSHLW","SHLW",17.76357,-64.58008
2025,4639,"EEMP",0,317556,"PTRFSHLW","SHLW",17.76087,-64.57698
2025,4650,"EEMP",0,327375,"AGRFSHLW","SHLW",17.76459,-64.61494
2025,4651,"EEMP",0,330741,"AGRFSHLW","SHLW",17.76622,-64.58409
2025,4661,"EEMP",0,332797,"PVMTSHLW","SHLW",17.7663,-64.65177
2025,4671,"EEMP",0,329540,"AGRFSHLW","SHLW",17.76533,-64.63152
2025,4673,"EEMP",0,336116,"PTRFSHLW","SHLW",17.76803,-64.64315
2025,4675,"EEMP",0,3016481,"PTRFSHLW","SHLW",17.71499,-64.65783
2025,4679,"EEMP",0,206274,"PTRFSHLW","SHLW",17.71445,-64.66232
2025,4680,"EEMP",0,338318,"PTRFSHLW","SHLW",17.76872,-64.64195
2025,4685,"EEMP",0,330673,"SCRDEEP","DEEP",17.76586,-64.61609
2025,4689,"EEMP",0,332824,"PVMTSHLW","SHLW",17.76651,-64.63916
2025,4691,"EEMP",0,330741,"AGRFSHLW","SHLW",17.76608,-64.58412
2025,4692,"EEMP",0,277935,"AGRFSHLW","SHLW",17.7446,-64.58672
2025,4693,"EEMP",0,285672,"AGRFSHLW","SHLW",17.74772,-64.5693
2025,4694,"EEMP",0,198571,"PVMTSHLW","SHLW",17.71125,-64.66387
2025,4695,"EEMP",0,338272,"PVMTSHLW","SHLW",17.76878,-64.66364
2025,4696,"EEMP",0,330638,"PTRFSHLW","SHLW",17.7657,-64.63259
2025,4699,"EEMP",0,3069789,"PVMTSHLW","SHLW",17.76896,-64.6499
2025,4701,"EEMP",0,336146,"PVMTSHLW","SHLW",17.76809,-64.62894
2025,4703,"EEMP",0,329519,"PVMTSHLW","SHLW",17.76531,-64.64153
2025,4704,"EEMP",0,341586,"PVMTSHLW","SHLW",17.77006,-64.65731
2025,4706,"EEMP",0,255892,"PVMTSHLW","SHLW",17.73512,-64.60697
2025,4707,"EEMP",0,201869,"AGRFSHLW","SHLW",17.71265,-64.66473
2025,4718,"EEMP",0,319753,"PTRFSHLW","SHLW",17.76192,-64.57848
